dhatu_hk	gana	pada	meaning_en	number	dhatu_slp1	dhatu_with_anubandha
truT	6	parasmaipada	chedane	0102	truw	truwa!
trup	1	parasmaipada	hiMsArthaH	0472	trup	trupa!
truph	1	parasmaipada	hiMsArthaH	0476	truP	truPa!
trump	1	parasmaipada	hiMsArthaH	0473	trump	trumpa!
trumph	1	parasmaipada	hiMsArthAH	0477	trumP	trumPa!
trai	1	atmanepada	pAlane	1120	trE	trEN
trauk	1	atmanepada	gatyarthaH	0104	trOk	trOkf!
tvakS	1	parasmaipada	tanUkaraNe	0744	tvakz	tvakzU!
tvaGg	1	parasmaipada	gatyarthaH tvagi! kampane ca	0159	tvaNg	tvagi!
tvac	6	parasmaipada	saMvaraNe	0021	tvac	tvaca!
tvaJc	1	parasmaipada	gatyarthaH	0219	tvaYc	tvaYcu!
tvar	1	atmanepada	sambhrame	0884	tvar	YitvarA!
tviS	1	ubhayapada	dIptau	1156	tviz	tviza!
tsar	1	parasmaipada	chadmagatau	0635	tsar	tsara!
thaGk	1	parasmaipada	gatyarthaH ityapi kecit	0167	TaNk	Taki!
thuD	6	parasmaipada	saMvaraNe	0117	Tuq	Tuqa!
thurv	1	parasmaipada	hiMsArthaH	0652	Turv	TurvI!
daMz	10	ubhayapada	bhASArthaH	0295	daMS	daSi!
daMz	10	atmanepada	daMzane darzanadaMzanayoH	0193	daMS	daSi!
daMz	1	parasmaipada	dazane	1144	daMS	daMSa!
daMs	10	ubhayapada	bhASArthaH ca	0317	daMs	dasi!
daMs	10	atmanepada	darzanadaMzanayoH	0194	daMs	dasi!
dakS	1	atmanepada	gatihiMsanayoH gatizAsanayoH vRddhau zIghrArthe ca	0874	dakz	dakza!
dagh	5	parasmaipada	ghAtane pAlane ca	0030	daG	daGa!
daGgh	1	parasmaipada	pAlane	0181	daNG	daGi!
daNDa	10	ubhayapada	daNDanipAte	0472	daRqa	daRqa
dad	1	atmanepada	dAne	0017	dad	dada!
dadh	1	atmanepada	dhAraNe	0008	daD	daDa!
dam	4	parasmaipada	upazame	0100	dam	damu!
dambh	5	parasmaipada	dambhane dambhe	0026	damB	damBu!
day	1	atmanepada	dAnagatirakSaNahiMsAdAneSu	0553	day	daya!
daridrA	2	parasmaipada	durgatau	0068	daridrA	daridrA
dal	10	ubhayapada	vidAraNe mit iti bhojaH 1929	0281	dal	dala!
dal	1	parasmaipada	vizaraNe mit iti bhojaH 1929	0629	dal	dala!
dAz	5	parasmaipada	hiMsAyAm	0036	dAS	dASa!
das	10	atmanepada	darzanadaMzanayoH ityapyeke	0195	das	dasa!
das	4	parasmaipada	ca upakSaye	0110	das	dasu!
dah	1	parasmaipada	bhasmIkaraNe	1146	dah	daha!
dA	3	ubhayapada	dAne	0010	dA	qudAY
dA	1	parasmaipada	dAne	1079	dA	dAR
dA	2	parasmaipada	lavane	0054	dA	dAp
dAn	1	ubhayapada	khaNDane avakhaNDane	1149	dAn	dAna!
dAz	1	ubhayapada	dAne	1025	dAS	dASf!
dAs	1	ubhayapada	dAne	1041	dAs	dAsf!
dinv	1	parasmaipada	prINanArthaH	0676	dinv	divi!
div	4	parasmaipada	krIDAvijigISAvyavahAradyutistutimodamadasvapnakAntigatiSu	0001	div	divu!
div	10	atmanepada	parikUjane	0230	div	divu!
div	10	ubhayapada	mardane	0249	div	divu!
diz	6	ubhayapada	atisarjane	0003	diS	diSa!
dih	2	ubhayapada	upacaye	0005	dih	diha!
dI	4	atmanepada	kSaye	0029	dI	dIN
dIkS	1	atmanepada	mauNDyejyopanayananiyamavratAdezeSu	0693	dIkz	dIkza!
dIdhI	2	atmanepada	dIptidevanayoH	0071	dIDI	dIDIN
dIp	4	atmanepada	dIptau	0045	dIp	dIpI!
du	1	parasmaipada	gatau	1094	du	du
du	5	parasmaipada	upatApe	0011	du	wudu
duHkha	10	ubhayapada	tatkriyAyAm	0476	duHKa	duHKa
durv	1	parasmaipada	hiMsArthaH	0653	durv	durvI!
dul	10	ubhayapada	utkSepe	0089	dul	dula!
duS	4	parasmaipada	vaikRtye	0082	duz	duza!
duh	1	parasmaipada	ardane	0839	duh	duhi!r
duh	2	ubhayapada	prapUraNe	0004	duh	duha!
dU	4	atmanepada	paritApe	0028	dU	dUN
dR	6	atmanepada	Adare	0147	df	dfN
dRMh	1	parasmaipada	vRddhau	0835	dfMh	dfhi!
dRp	6	parasmaipada	utkleze	0036	dfp	dfpa!
dRp	10	ubhayapada	sandIpane ityeke	0356	dfp	dfpa!
dRp	4	parasmaipada	harSamohanayoH	0093	dfp	dfpa!
dRph	6	parasmaipada	utkleze ityeke	0038	dfP	dfPa!
dRbh	6	parasmaipada	granthe	0048	dfB	dfBI!
dRbh	10	ubhayapada	bhaye granthe	0357	dfB	dfBI!
dRmp	6	parasmaipada	utkleze	0037	dfmp	dfmpa!
dRmph	6	parasmaipada	utkleze ityeke	0039	dfmP	dfmPa!
dRh	1	parasmaipada	vRddhau	0834	dfh	dfha!
dRR	1	parasmaipada	bhaye	0920	dF	dF
dRR	9	parasmaipada	vidAraNe	0026	dF	dF
dR	5	parasmaipada	hiMsAyAm	0037	df	df
de	1	atmanepada	rakSaNe	1117	de	deN
dev	1	atmanepada	devane	0573	dev	devf!
dai	1	parasmaipada	zodhane	1073	dE	dEp
dRz	1	parasmaipada	prekSaNe	1143	dfS	dfSi!r
do	4	parasmaipada	avakhaNDane	0043	do	do
dyu	2	parasmaipada	abhigamane	0035	dyu	dyu
dyut	1	atmanepada	dIptau	0842	dyut	dyuta!
dyai	1	parasmaipada	nyakkaraNe	1053	dyE	dyE
dram	1	parasmaipada	gatau	0537	dram	drama!
drA	2	parasmaipada	kutsAyAM gatau	0049	drA	drA
drAkh	1	parasmaipada	zoSaNAlamarthyoH	0132	drAK	drAKf!
drAgh	1	atmanepada	sAmarthye drAghR! AyAme ca	0120	drAG	drAGf!
drAGkS	1	parasmaipada	kAGkSAyAm ghoravAsite ca	0763	drANkz	drAkzi!
drAD	1	atmanepada	vizareNe	0322	drAq	drAqf!
drAh	1	atmanepada	nidrAkSaye nikSepa ityeke	0733	drAh	drAhf!
dru	1	parasmaipada	gatau	1095	dru	dru
druN	6	parasmaipada	hiMsAgatikauTilyeSu	0063	druR	druRa!
druh	4	parasmaipada	jighAMsAyAm	0094	druh	druha!
drU	9	ubhayapada	hiMsAyAm	0013	drU	drUY
drek	1	atmanepada	zabdotsAhayoH	0083	drek	drekf!
drai	1	parasmaipada	svapne	1054	drE	drE
dviS	2	ubhayapada	aprItau	0003	dviz	dviza!
dvR	1	parasmaipada	saMvaraNe varaNe	1083	dvf	dvf
dhakk	10	ubhayapada	nAzane	0083	Dakk	Dakka!
dhaN	1	parasmaipada	zabdArthaH ityapi kecit	0522	DaR	DaRa!
dhan	3	parasmaipada	dhAnye	0024	Dan	Dana!
dhanv	1	parasmaipada	gatyarthAH	0681	Danv	Davi!
dhA	3	ubhayapada	dhAraNapoSaNayoH dAna ityapyeke	0011	DA	quDAY
dhAv	1	ubhayapada	gatizuddhyoH	0685	DAv	DAvu!
dhi	6	parasmaipada	dhAraNe	0142	Di	Di
dhikS	1	atmanepada	sandIpanaklezanajIvaneSu	0687	Dikz	Dikza!
dhinv	1	parasmaipada	prINanArthaH	0677	Dinv	Divi!
dhiS	3	parasmaipada	zabde	0023	Diz	Diza!
dhI	4	atmanepada	AdhAre	0031	DI	DIN
dhU	6	parasmaipada	vidhUnane	0133	DU	DU
dhu	5	ubhayapada	kampane	0009	Du	DuY
dhukS	1	atmanepada	sandIpanaklezanajIvaneSu	0686	Dukz	Dukza!
dhurv	1	parasmaipada	hiMsArthAH	0654	Durv	DurvI!
dhU	5	ubhayapada	kampane ityeke	0010	DU	DUY
dhU	10	ubhayapada	kampane	0372	DU	DUY
dhU	9	ubhayapada	kampane	0020	DU	DUY
dhUp	10	ubhayapada	bhASArthaH	0303	DUp	DUpa!
dhUp	1	parasmaipada	santApe	0462	DUp	DUpa!
dhUr	4	atmanepada	hiMsAgatyoH	0048	DUr	DUrI!
dhUz	10	ubhayapada	kAntikaraNe ityapare	0141	DUS	DUSa!
dhUS	10	ubhayapada	kAntikaraNe ityeke	0140	DUz	DUza!
dhUs	10	ubhayapada	kAntikaraNe	0139	DUs	DUsa!
dhR	1	atmanepada	avadhvaMsane	1047	Df	DfN
dhR	6	atmanepada	avasthAne	0148	Df	DfN
dhR	1	ubhayapada	dhAraNe	1115	Df	DfY
dhRj	1	parasmaipada	gatau	0249	Dfj	Dfja!
dhRJj	1	parasmaipada	gatau	0250	DfYj	Dfji!
dhRS	10	ubhayapada	prasahane	0388	Dfz	Dfza!
dhRS	5	parasmaipada	prAgalbhye	0025	Dfz	YiDfzA!
dhRR	9	parasmaipada	vayohAnau ityanye	0029	DF	DF
dhe	1	parasmaipada	pAne	1050	De	Dew
dhep	1	atmanepada	ca gatau	0433	Dep	Depf!
dhor	1	parasmaipada	gaticAturye	0634	Dor	Dorf!
dhmA	1	parasmaipada	zabdAgnisaMyogayoH	1076	DmA	DmA
dhmAGkS	1	parasmaipada	kAGkSAyAm ghoravAsite ca ityeke	0766	DmANkz	DmAkzi!
dhyai	1	parasmaipada	cintAyAm	1056	DyE	DyE
dhraj	1	parasmaipada	gatau	0245	Draj	Draja!
dhraJj	1	parasmaipada	gatau	0246	DraYj	Draji!
dhraN	1	parasmaipada	zabde	0529	DraR	DraRa!
dhras	10	ubhayapada	ughrasa! uJche	0270	Dras	u!Drasa!
dhras	9	parasmaipada	uJche	0060	Dras	u!Drasa!
dhrAkh	1	parasmaipada	zoSaNAlamarthyoH	0133	DrAK	DrAKf!
dhrAGkS	1	parasmaipada	kAGkSAyAm ghoravAsite ca	0764	DrANkz	DrAkzi!
dhrAD	1	atmanepada	vizareNe	0323	DrAq	DrAqf!
dhrij	1	parasmaipada	gatau ca	0253	Drij	Drija!
dhru	6	parasmaipada	gatisthairyayoH dhruva ityeke	0135	Dru	Dru
dhru	1	parasmaipada	sthairye	1093	Dru	Dru
dhrek	1	atmanepada	zabdotsAhayoH	0084	Drek	Drekf!
dhrai	1	parasmaipada	tRptau	1055	DrE	DrE
dhvaMs	1	atmanepada	avasraMsane dhvaMsu! gatau ca	0858	DvaMs	DvaMsu!
dhvaj	1	parasmaipada	gatau	0251	Dvaj	Dvaja!
dhvaJj	1	parasmaipada	gatau	0252	DvaYj	Dvaji!
dhvaN	1	parasmaipada	zabdArthAH	0521	DvaR	DvaRa!
dhvana	10	ubhayapada	zabde	0431	Dvana	Dvana
dhvan	1	parasmaipada	zabde zabde mit 1928, 1933	0962	Dvan	Dvana!
dhvAGkS	1	parasmaipada	dhmAkSi! kAGkSAyAm ghoravAsite ca	0765	DvANkz	DvAkzi!
dhvR	1	parasmaipada	hUrchane	1089	Dvf	Dvf
nakk	10	ubhayapada	nAzane	0082	nakk	nakka!
nakS	1	parasmaipada	gatau	0752	nakz	Rakza!
nakh	1	parasmaipada	gatyarthaH	0142	naK	RaKa!
naGkh	1	parasmaipada	gatyarthaH	0143	naNK	RaKi!
naT	1	parasmaipada	nRtau	0347	naw	Rawa!
naT	10	ubhayapada	bhASArthaH ca	0322	naw	nawa!
naD	10	ubhayapada	bhASArthaH	0309	naq	Raqa!
nad	1	parasmaipada	avyakte zabde	0056	nad	Rada!
nand	1	parasmaipada	samRddhau	0070	nand	wunadi!
nabh	9	parasmaipada	hiMsAyAm	0056	naB	RaBa!
nabh	4	parasmaipada	hiMsAyAm	0155	naB	RaBa!
nabh	1	atmanepada	hiMsAyAm abhAve'pi	0855	naB	RaBa!
nam	1	parasmaipada	prahvatve zabde ca mit anupasargAdvA 1944	1136	nam	Rama!
nay	1	atmanepada	gatau Naya! rakSaNe ca	0552	nay	Raya!
nard	1	parasmaipada	zabde	0058	nard	narda!
nal	10	ubhayapada	bhASArthaH ca	0333	nal	nala!
nal	1	parasmaipada	gandhe bandhana ityeke	0972	nal	Rala!
naz	4	parasmaipada	adarzane	0091	naS	RaSa!
nas	1	atmanepada	kauTilye	0714	nas	Rasa!
nah	4	ubhayapada	bandhane	0062	nah	Raha!
nAth	1	atmanepada	yAcJopatApaizvaryAzISSu	0007	nAT	nATf!
nAdh	1	atmanepada	yAcJopatApaizvaryAzISSu	0006	nAD	nADf!
nAs	1	atmanepada	zabde	0712	nAs	RAsf!
niMs	2	atmanepada	cumbane	0017	niMs	Risi!
nikS	1	parasmaipada	cumbane	0747	nikz	Rikza!
nij	3	ubhayapada	zaucapoSaNayoH	0012	nij	Riji!r
niJj	2	atmanepada	zuddhau	0018	niYj	Riji!
nid	1	ubhayapada	kutsAsannikarSayoH	1012	nid	Ridf!
nind	1	parasmaipada	kutsAyAm	0069	nind	Ridi!
ninv	1	parasmaipada	secane secane cetyeke	0673	ninv	Rivi!
nil	6	parasmaipada	gahane	0087	nil	Rila!
nivAsa	10	ubhayapada	AcchAdane	0427	nivAsa	nivAsa
niz	1	parasmaipada	samAdhau	0823	niS	RiSa!
niS	1	parasmaipada	secane	0796	niz	Rizu!
niSk	10	atmanepada	parimANe	0209	nizk	nizka!
nI	1	ubhayapada	prApaNe	1049	nI	RIY
nIl	1	parasmaipada	varNe	0600	nIl	RIla!
nIv	1	parasmaipada	sthaulye	0647	nIv	RIva!
nu	6	parasmaipada	stutau	0132	nu	RU
nu	2	parasmaipada	stutau	0030	nu	Ru
nud	6	parasmaipada	preraNe	0002	nud	Ruda!
nud	6	ubhayapada	preraNe	0162	nud	Ruda!
nRt	4	parasmaipada	gAtravikSepe	0010	nft	nftI!
nRR	9	parasmaipada	naye	0030	nF	nF
nRR	1	parasmaipada	naye	0921	nF	nF
ned	1	ubhayapada	kutsAsannikarSayoH	1013	ned	Redf!
neS	1	atmanepada	gatau	0704	nez	Rezf!
paMz	10	ubhayapada	nAzane ityeke	0108	paMS	paSi!
paMs	10	ubhayapada	nAzane	0107	paMs	pasi!
pakS	1	parasmaipada	parigraha ityeke	0757	pakz	pakza!
pakS	10	ubhayapada	parigrahe	0024	pakz	pakza!
pac	1	ubhayapada	pAke	1151	pac	qupaca!z
paJc	10	ubhayapada	vistAravacane	0153	paYc	paci!
paJc	1	atmanepada	vyaktIkaraNe	0198	paYc	paci!
paTa	10	ubhayapada	granthe	0394	pawa	pawa
paT	10	ubhayapada	bhASArthaH	0282	paw	pawa!
paT	1	parasmaipada	gatau	0333	paw	pawa!
paTh	1	parasmaipada	vyaktAyAM vAci	0381	paW	paWa!
paN	1	atmanepada	vyavahAre stutau ca	0507	paR	paRa!
paND	10	ubhayapada	nAzane	0106	paRq	paqi!
paND	1	atmanepada	gatau	0315	paRq	paqi!
pata	10	ubhayapada	devazabde gatau vA vAdanta ityeke	0400	pata	pata
pat	1	parasmaipada	gatau	0979	pat	patx!
path	10	ubhayapada	prakSepe ityeke	0029	paT	paTa!
path	1	parasmaipada	gatau	0982	paT	paTe!
pada	10	atmanepada	gatau	0440	pada	pada
pad	4	atmanepada	gatau	0065	pad	pada!
pan	1	atmanepada	ca vyavahAre stutau ca	0508	pan	pana!
panth	10	ubhayapada	gatau	0060	panT	paTi!
pay	1	atmanepada	gatau	0548	pay	paya!
parNa	10	ubhayapada	haritabhAve	0485	parRa	parRa
pard	1	atmanepada	kutsite zabde	0029	pard	parda!
parp	1	parasmaipada	gatau	0478	parp	parpa!
parb	1	parasmaipada	gatau	0482	parb	parba!
parv	1	parasmaipada	pUraNe	0658	parv	parva!
pal	10	ubhayapada	rakSaNe ityeke	0099	pal	pala!
pal	1	parasmaipada	gatau	0973	pal	pala!
palyUla	10	ubhayapada	lavanapavanayoH	0423	palyUla	palyUla
pall	1	parasmaipada	gatau	0621	pall	palla!
paz	10	ubhayapada	bandhane	0244	paS	paSa!
paSa	10	ubhayapada	anupasargAt gatau	0401	paza	paza
pA	1	parasmaipada	pAne	1074	pA	pA
pA	2	parasmaipada	rakSaNe	0051	pA	pA
pAra	10	ubhayapada	karmasamAptau	0453	pAra	pAra
pAl	10	ubhayapada	rakSaNe	0098	pAl	pAla!
pi	6	parasmaipada	gatau	0141	pi	pi
piMs	10	ubhayapada	bhASArthaH	0293	piMs	pisi!
pich	10	ubhayapada	kuTTane	0061	piC	piCa!
pij	10	ubhayapada	hiMsAbalAdAnaniketaneSu	0046	pij	pija!
piJj	10	ubhayapada	bhASArthaH	0047	piYj	piji!
piJj	2	atmanepada	varNe samparcana ityeke ubhayannetyanye avayava ityapare avyakte zabda itItare	0020	piYj	piji!
piT	1	parasmaipada	zabdasaGghAtayoH	0348	piw	piwa!
piTh	1	parasmaipada	hiMsAsaGklezanayoH	0393	piW	piWa!
piNTh	10	ubhayapada	saGghAte ityeke	0186	piRW	piWi!
piND	10	ubhayapada	saGghAte	0185	piRq	piqi!
piND	1	atmanepada	saGghAte	0307	piRq	piqi!
pinv	1	parasmaipada	secane secane cetyeke	0671	pinv	pivi!
piz	10	ubhayapada	nAzane	0105	piS	piSa!
piz	6	parasmaipada	avayave ayaM dIpanAyAmapi	0173	piS	piSa!
piS	7	parasmaipada	saJcUrNane	0015	piz	pizx!
pis	1	parasmaipada	gatau	0816	pis	pisf!
pis	10	ubhayapada	gatau	0050	pis	pisa!
pI	4	atmanepada	pAne	0036	pI	pIN
pID	10	ubhayapada	avagAhane	0017	pIq	pIqa!
pIl	1	parasmaipada	pratiSTambhe	0599	pIl	pIla!
pIv	1	parasmaipada	sthaulye	0644	pIv	pIva!
puMs	10	ubhayapada	abhivardhaNe	0134	puMs	puMsa!
puTa	10	ubhayapada	saMsarge	0455	puwa	puwa
puT	10	ubhayapada	bhASArthaH	0283	puw	puwa!
puT	1	parasmaipada	mardane pramardane ityeke	0367	puw	puwa!
puT	6	parasmaipada	saMzleSaNe	0094	puw	puwa!
puTT	10	ubhayapada	alpIbhAve	0035	puww	puwwa!
puD	1	parasmaipada	puTa! mardane pramardane	0365	puq	puqa!
puD	6	parasmaipada	utsarge	0114	puq	puqa!
puN	10	ubhayapada	saGghAte ityanye	0133	puR	puRa!
puN	6	parasmaipada	karmaNi zubhe	0059	puR	puRa!
puNT	10	ubhayapada	bhASArthaH ca	0323	puRw	puwi!
puND	1	parasmaipada	khaNDane cetyeke	0370	puRq	puqi!
puth	4	ubhayapada	bhASArthaH	0013	puT	puTa!
puth	10	parasmaipada	hiMsAyAm	0306	puT	puTa!
punth	1	parasmaipada	hiMsAsaGklezanayoH	0046	punT	puTi!
pur	6	parasmaipada	agragamane	0072	pur	pura!
purv	1	parasmaipada	pUraNe	0657	purv	purva!
pul	10	ubhayapada	mahattve	0090	pul	pula!
pul	1	parasmaipada	mahattve	0975	pul	pula!
puS	4	parasmaipada	vibhAge ca iti kecit	0121	puz	puza!
puS	10	ubhayapada	dhAraNe	0280	puz	puza!
puS	9	parasmaipada	puSTau	0065	puz	puza!
puS	1	parasmaipada	puSTau	0797	puz	puza!
puSp	4	parasmaipada	vikasane	0016	puzp	puzpa!
pust	10	ubhayapada	AdarAnAdarayoH	0079	pust	pusta!
pU	9	ubhayapada	pavane	0014	pU	pUY
pU	1	atmanepada	pavane	1121	pU	pUN
pUj	10	ubhayapada	pUjAyAm	0144	pUj	pUja!
pUy	1	atmanepada	vizaraNe durgandhe ca	0557	pUy	pUyI!
pUr	10	ubhayapada	ApyAyane	0334	pUr	pUrI!
pUr	4	atmanepada	ApyAyane	0046	pUr	pUrI!
pUrN	10	ubhayapada	saGghAte ityeke	0132	pUrR	pUrRa!
pUrv	10	ubhayapada	niketane ityanye	0181	pUrv	pUrva!
pUl	10	ubhayapada	saGghAte	0131	pUl	pUla!
pUl	1	parasmaipada	saGghAte	0606	pUl	pUla!
pUS	1	parasmaipada	vRddhau	0769	pUz	pUza!
pR	3	parasmaipada	pAlanapUraNayoH ityeke	0005	pf	pf
pR	5	parasmaipada	prItau	0013	pf	pf
pR	6	atmanepada	vyAyAme	0138	pf	pfN
pRc	10	ubhayapada	saMyamane	0339	pfc	pfca!
pRc	7	parasmaipada	samparke	0025	pfc	pfcI!
pRc	2	atmanepada	samparcane samparke	0024	pfc	pfcI!
pRJj	2	atmanepada	varNe samparcana ityeke ubhayannetyanye avayava ityapare avyakte zabda itItare ityeke	0021	pfYj	pfji!
pRD	6	parasmaipada	sukhane ca	0054	pfq	pfqa!
pRN	6	parasmaipada	prINane	0055	pfR	pfRa!
pRth	10	ubhayapada	prakSepe	0028	pfT	pfTa!
pRS	1	parasmaipada	secane hiMsAsaGklezanayozca	0802	pfz	pfzu!
pRR	3	parasmaipada	pAlanapUraNayoH	0004	pF	pF
pRR	9	parasmaipada	pAlanapUraNayoH	0022	pF	pF
pRR	10	ubhayapada	pUraNe	0022	pF	pF
pel	1	parasmaipada	gatau	0621	pel	pelf!
pev	1	atmanepada	sevane	0577	pev	pevf!
peS	1	atmanepada	prayatne	0700	pez	pezf!
pes	1	parasmaipada	gatau	0817	pes	pesf!
pai	1	parasmaipada	zoSaNe	1069	pE	pE
paiN	1	parasmaipada	gatipreraNazleSaNeSu	0527	pER	pERf!
pyAy	1	atmanepada	vRddhau	0561	pyAy	o!pyAyI!
pyuS	4	parasmaipada	vibhAge iti kecit	0119	pyuz	pyuza!
pyus	4	parasmaipada	vibhAge iti kecit	0120	pyus	pyusa!
pyai	1	atmanepada	vRddhau	1119	pyE	pyEN
prach	6	parasmaipada	jJIpsAyAm	0149	praC	praCa!
prath	10	ubhayapada	prakhyAne	0027	praT	praTa!
prath	1	atmanepada	prakhyAne	0869	praT	praTa!
pras	1	atmanepada	vistAre	0870	pras	prasa!
prA	2	parasmaipada	pUraNe	0056	prA	prA
prI	10	ubhayapada	tarpane	0373	prI	prIY
prI	9	ubhayapada	tarpane kAntau ca	0002	prI	prIY
prI	4	atmanepada	prItau prINane	0039	prI	prIN
pru	1	atmanepada	gatau	1111	pru	pruN
pruS	1	parasmaipada	dAhe	0800	pruz	pruzu!
pruS	9	parasmaipada	snehanasevanapUraNeSu	0063	pruz	pruza!
preS	1	atmanepada	gatau	0706	prez	prezf!
praiN	1	parasmaipada	ityapi gatipreraNazleSaNeSu	0528	prER	prERf!
proth	1	ubhayapada	paryAptau	1005	proT	proTf!
plakS	1	ubhayapada	ca adane	1040	plakz	plakza!
plih	1	atmanepada	gatau	0729	plih	pliha!
plI	9	parasmaipada	gatau	0039	plI	plI
plu	1	atmanepada	gatau	1112	plu	pluN
pluS	4	parasmaipada	ca dAhe	0122	pluz	pluza!
pluS	1	parasmaipada	dAhe	0801	pluz	pluzu!
pluS	9	parasmaipada	snehanasevanapUraNeSu	0064	pluz	pluza!
plev	1	atmanepada	sevane ityapyeke	0582	plev	plevf!
psA	2	parasmaipada	bhakSaNe	0050	psA	psA
phakk	1	parasmaipada	nicairgatau	0123	Pakk	Pakka!
phaN	1	parasmaipada	gatau gatidIptyoH	0955	PaR	PaRa!
phal	1	parasmaipada	niSpattau	0608	Pal	Pala!
phull	1	parasmaipada	vikasane	0610	Pull	Pulla!
phel	1	parasmaipada	gatau	0622	Pel	Pelf!
baMh	1	atmanepada	vRddhau	0720	baMh	bahi!
baTh	1	parasmaipada	sthaulye ityeke	0383	baW	baWa!
baN	1	parasmaipada	zabde ityapi kecit	0530	baR	baRa!
baNT	1	parasmaipada	vibhAjane ityeke	0378	baRw	bawi!
bad	1	parasmaipada	sthairye	0053	bad	bada!
badh	1	atmanepada	bandhane	1128	baD	baDa!
badh	10	ubhayapada	saMyamane	0020	baD	baDa!
bandh	10	ubhayapada	saMyamane iti cAndrAH	0021	banD	banDa!
bandh	9	parasmaipada	bandhane	0044	banD	banDa!
barb	1	parasmaipada	gatau	0484	barb	barba!
barh	10	ubhayapada	bhASArthaH	0300	barh	barha!
barh	1	atmanepada	prAdhAnye	0725	barh	barha!
bal	10	ubhayapada	prANane	0123	bal	bala!
bal	1	parasmaipada	prANane dhAnyAvarodhe ca dhAnyAvarodhane ca	0974	bal	bala!
balh	10	ubhayapada	bhASArthaH	0301	balh	balha!
balh	1	atmanepada	prAdhAnye	0726	balh	balha!
baSk	10	ubhayapada	darzane	0458	bazk	bazka!
bas	4	parasmaipada	stambhe ityeke	0112	bas	basu!
bast	10	atmanepada	ardane	0203	bast	basta!
bAD	1	atmanepada	AplAvye	0320	bAq	bAqf!
bAdh	1	atmanepada	loDane viloDane	0005	bAD	bADf!
bAh	1	atmanepada	prayatne	0732	bAh	bAhf!
biT	1	parasmaipada	Akroze	0355	biw	biwa!
bind	1	parasmaipada	avayave	0066	bind	bidi!
bil	10	ubhayapada	bhedane	0095	bil	bila!
bil	6	parasmaipada	bhedane	0086	bil	bila!
bis	1	parasmaipada	gatau	0820	bis	bisa!
vis	4	parasmaipada	preraNe	0123	vis	visa!
bIbh	1	atmanepada	katthane ca	0445	bIB	bIBf!
bukk	1	parasmaipada	bhaSaNe	0126	bukk	bukka!
bukk	10	ubhayapada	bhASaNe	0238	bukk	bukka!
buGg	1	parasmaipada	varjane	0177	buNg	bugi!
budh	4	atmanepada	avagamane	0068	buD	buDa!
budh	1	parasmaipada	avagamane	0994	buD	buDa!
budh	1	ubhayapada	bodhane	1016	buD	buDi!r
bund	1	ubhayapada	nizAmane	1017	bund	u!bundi!r
bus	4	parasmaipada	vibhAge ityapare	0117	bus	busa!
bust	10	ubhayapada	AdarAnAdarayoH	0080	bust	busta!
bRMh	10	ubhayapada	bhASArthaH	0299	bfMh	bfhi!
bRMh	1	parasmaipada	vRddhau bRhi! vRhi! zabde ca	0837	bfMh	bfhi!
bRh	1	parasmaipada	vRddhau bRhi!r vRhi!r vRddhau zabde ca ityeke	0836	bfh	bfha!
bRh	6	parasmaipada	udyamane ityeke	0074	bfh	bfhU!
bes	1	parasmaipada	gatau	0821	bes	besa!
beh	1	atmanepada	prayatne	0730	beh	behf!
byus	4	parasmaipada	vibhAge ityanye	0116	byus	byusa!
brU	2	ubhayapada	vyaktAyAM vAci	0039	brU	brUY
brUs	10	ubhayapada	hiMsAyAm	0172	brUs	brUsa!
blI	9	parasmaipada	varaNe ityeke	0038	blI	blI
bhakS	1	ubhayapada	adane iti maitreyaH	1039	Bakz	Bakza!
bhakS	10	ubhayapada	adane	0033	Bakz	Bakza!
bhaj	10	ubhayapada	vizrANane	0259	Baj	Baja!
bhaj	1	ubhayapada	sevAyAm	1153	Baj	Baja!
bhaJj	10	ubhayapada	bhASArthaH	0290	BaYj	Baji!
bhaJj	7	parasmaipada	Amardane	0016	BaYj	BaYjo!
bhaT	1	parasmaipada	paribhASaNe	0889	Baw	Bawa!
bhaN	1	parasmaipada	zabdArthaH	0515	BaR	BaRa!
bhaND	10	ubhayapada	kalyANe	0077	BaRq	Baqi!
bhaND	1	atmanepada	paribhASaNe	0306	BaRq	Baqi!
bhand	1	atmanepada	kalyANe sukhe ca	0012	Band	Badi!
bharts	10	atmanepada	santarjane tarjane	0202	Barts	Bartsa!
bharb	1	parasmaipada	hiMsAyAm ityeke	0662	Barb	Barba!
bharbh	1	parasmaipada	hiMsAyAm ityanye	0663	BarB	BarBa!
bharv	1	parasmaipada	hiMsAyAm	0661	Barv	Barva!
bhal	1	atmanepada	paribhASaNahiMsAdAneSu	0568	Bal	Bala!
bhal	10	atmanepada	AbhaNDane	0224	Bal	Bala!
bhall	1	atmanepada	paribhASaNahiMsAdAneSu	0569	Ball	Balla!
bhaS	1	parasmaipada	bhartsane	0791	Baz	Baza!
bhas	4	parasmaipada	stambhe iti kecit	0113	Bas	Basu!
bhas	3	parasmaipada	bhartsanadIptyoH	0019	Bas	Basa!
bhA	2	parasmaipada	dIptau	0046	BA	BA
bhAja	10	ubhayapada	pRthakkarmaNi	0428	BAja	BAja
bhAma	10	ubhayapada	krodhe	0411	BAma	BAma
bhAm	1	atmanepada	krodhe	0509	BAm	BAma!
bhAS	1	atmanepada	vyaktAyAM vAci	0696	BAz	BAza!
